 122,   278.444,   287.333,    17.005,   361.417
 123,   276.777,   283.999,    11.706,   359.982
 124,   277.888,   290.110,    21.478,   359.982
 125,   277.333,   291.777,    20.501,   359.982
 126,   279.555,   287.333,     7.870,   359.982
 127,   280.110,   286.777,    13.616,   359.982
 128,   278.444,   287.888,    19.278,   359.982
 129,   278.999,   287.333,     8.135,   359.982
 130,   281.221,   290.110,    15.920,   359.982
 131,   281.777,   294.555,    20.225,   358.407
 132,   285.110,   298.999,    10.753,   358.407
 133,   287.333,   298.444,    22.568,   358.407
 134,   283.444,   297.333,    10.625,   358.407
 135,   282.333,   296.221,    22.283,   358.407
 136,   286.221,   300.666,    15.163,   358.407
 137,   287.888,   298.999,    16.830,   358.407
 138,   276.777,   288.444,    17.494,   356.749
 139,   277.333,   290.110,    22.756,   356.749
 140,   278.444,   293.999,    23.926,   356.749
 141,   279.555,   297.333,    17.316,   356.749
 142,   288.999,   298.444,    14.416,   356.749
 143,   283.999,   293.999,    13.610,   356.749
 144,   282.888,   300.110,    17.554,   356.749
 145,   290.666,   298.999,    14.766,   356.749
 146,   286.221,   294.555,    17.804,   355.037
 147,   285.666,   300.666,    12.682,   355.037
 148,   289.555,   299.555,    19.867,   355.037
 149,   289.555,   298.999,    18.184,   355.037
 150,   288.444,   297.333,    13.301,   355.037
 151,   286.777,   297.333,    11.405,   355.037
 152,   284.555,   296.221,    20.320,   355.037
 153,   285.666,   295.666,    14.732,   355.037
 154,   286.221,   296.777,    20.697,   353.286
 155,   280.110,   285.110,     9.639,   353.286
 156,   280.110,   284.555,    10.622,   353.286
 157,   279.555,   292.888,    17.629,   353.286
 158,   283.999,   296.777,    21.966,   353.286
 159,   287.888,   297.888,    16.777,   353.286
 160,   285.110,   295.110,    20.071,   353.286
 161,   284.555,   300.110,    17.727,   351.394
 162,   289.555,   298.999,    13.662,   351.394
 163,   282.888,   296.777,    17.351,   351.394
 164,   279.555,   291.221,    21.721,   351.394
 165,   281.221,   295.110,    13.490,   351.394
 166,   285.666,   301.221,    15.316,   351.394
 167,   285.110,   294.555,    10.187,   351.394
 168,   284.555,   287.333,     9.400,   351.394
 169,   283.999,   293.999,     9.952,   349.565
 170,   283.999,   288.999,     9.494,   349.565
 171,   287.888,   302.888,    22.179,   349.565
 172,   289.555,   300.110,    19.526,   349.565
 173,   285.666,   293.999,    14.405,   349.565
 174,   284.555,   292.888,    14.699,   349.565
 175,   285.666,   296.777,    18.936,   349.565
 176,   285.666,   297.888,    21.389,   349.565
 177,   286.777,   299.555,    17.760,   347.742
 178,   286.777,   301.221,    16.895,   347.742
 179,   291.777,   303.444,    14.791,   347.742
 180,   291.221,   301.221,    15.811,   347.742
 181,   283.999,   290.666,    10.569,   347.742
 182,   283.999,   293.999,    20.930,   347.742
 183,   285.110,   293.999,    16.203,   347.742
 184,   286.777,   293.444,     9.929,   345.975
 185,   285.110,   294.555,    10.999,   345.975
 186,   286.221,   288.444,     9.892,   345.975
 187,   287.333,   293.999,    10.578,   345.975
 188,   288.999,   292.333,    10.084,   345.975
 189,   290.666,   302.333,    14.503,   345.975
 190,   288.444,   295.666,    21.251,   345.975
 191,   285.666,   297.333,    20.576,   345.975
 192,   286.221,   296.221,    20.239,   344.365
 193,   286.221,   298.444,    16.178,   344.365
 194,   287.888,   290.666,    10.011,   344.365
 195,   287.333,   295.666,    14.556,   344.365
 196,   287.333,   298.999,    21.457,   344.365
 197,   289.555,   300.666,    21.915,   344.365
 198,   289.555,   301.777,    20.838,   344.365
 199,   292.888,   304.555,    20.251,   343.058
 200,   295.110,   306.777,    19.917,   343.058
 201,   293.444,   306.221,    19.731,   343.058
 202,   295.110,   305.110,    19.170,   343.058
 203,   292.333,   300.666,    14.641,   343.058
 204,   291.777,   303.444,    15.242,   343.058
 205,   290.110,   300.110,    18.673,   343.058
 206,   290.110,   295.666,    10.461,   343.058
 207,   289.555,   295.110,    10.268,   342.179
 208,   290.110,   296.777,    10.406,   342.179
 209,   289.555,   296.777,    19.834,   342.179
 210,   290.110,   293.999,    10.821,   342.179
 211,   287.888,   294.555,    12.800,   342.179
 212,   286.777,   296.777,    15.885,   342.179
 213,   287.888,   300.666,    21.670,   342.179
 214,   290.110,   300.666,    18.055,   342.179
 215,   287.333,   292.333,    10.721,   341.812
 216,   287.888,   294.555,    11.133,   341.812
 217,   286.777,   295.666,    19.569,   341.812
 218,   285.110,   294.555,    16.707,   341.812
 219,   286.221,   297.333,    17.488,   341.812
 220,   289.555,   300.666,    17.684,   341.812
 221,   287.888,   293.444,     9.256,   341.812
 222,   288.444,   295.110,    13.342,   342.016
 223,   287.333,   296.221,    18.045,   342.016
 224,   287.333,   297.333,    17.353,   342.016
 225,   288.999,   300.110,    18.930,   342.016
 226,   292.333,   300.666,     9.520,   342.016
 227,   290.110,   296.777,     8.474,   342.016
 228,   290.110,   298.999,    18.049,   342.016
 229,   290.666,   301.221,    18.322,   342.016
 230,   291.777,   300.666,    12.588,   342.778
 231,   288.444,   294.555,     8.272,   342.778
 232,   286.221,   291.221,     8.240,   342.778
 233,   285.110,   288.999,     8.269,   342.778
 234,   288.999,   296.777,    17.062,   342.778
 235,   289.555,   298.999,    17.226,   342.778
 236,   286.777,   295.110,    16.262,   342.778
 237,   283.999,   292.888,    17.882,   344.042
 238,   283.444,   295.666,    14.639,   344.042
 239,   288.999,   299.555,     9.613,   344.042
 240,   291.221,   301.777,    16.360,   344.042
 241,   290.666,   300.666,    15.478,   344.042
 242,   290.110,   302.333,    17.320,   344.042
 243,   284.555,   297.888,    13.781,   344.042
 244,   280.666,   289.555,    18.816,   344.042
 245,   281.221,   291.777,    18.758,   345.717
 246,   282.333,   293.999,    15.355,   345.717
 247,   287.333,   297.333,    13.470,   345.717
 248,   285.110,   291.221,     8.044,   345.717
 249,   284.555,   292.888,    13.853,   345.717
 250,   285.666,   297.333,    17.330,   345.717
 251,   288.999,   296.777,    16.883,   345.717
 252,   288.999,   295.666,    16.017,   345.717
 253,   288.444,   296.777,    11.370,   347.695
 254,   282.333,   292.333,    15.480,   347.695
 255,   280.110,   291.221,    16.750,   347.695
 256,   280.666,   291.777,    14.896,   347.695
 257,   283.444,   286.777,     7.113,   347.695
 258,   285.110,   291.777,     6.881,   347.695
 259,   291.777,   301.777,    13.557,   347.695
 260,   291.777,   298.999,    13.308,   349.868
 261,   288.444,   296.777,    11.390,   349.868
 262,   282.333,   295.666,     6.528,   349.868
 263,   280.110,   285.666,    12.314,   349.868
 264,   277.888,   285.666,    14.924,   349.868
 265,   277.888,   288.444,    15.897,   349.868
 266,   282.333,   287.888,     5.808,   349.868
 267,   282.333,   290.666,    11.046,   349.868
 268,   282.888,   286.777,     5.702,   352.116
 269,   281.221,   287.888,     6.924,   352.116
 270,   276.221,   285.666,    14.012,   352.116
 271,   273.999,   283.444,    13.591,   352.116
 272,   275.110,   288.444,    12.338,   352.116
 273,   272.888,   285.110,    14.098,   352.116
 274,   277.333,   290.666,     7.089,   352.116
 275,   287.888,   295.110,    11.006,   354.335
 276,   287.333,   293.444,     5.392,   354.335
 277,   285.666,   295.110,    14.145,   354.335
 278,   286.221,   292.333,     4.855,   354.335
 279,   281.777,   291.221,     4.703,   354.335
 280,   274.555,   281.221,    11.155,   354.335
 281,   273.999,   285.666,    12.905,   354.335
 282,   277.333,   288.999,     9.960,   354.335
 283,   282.888,   289.555,     6.463,   356.429
 284,   280.110,   287.333,     9.252,   356.429
 285,   277.888,   283.444,     9.170,   356.429
 286,   275.110,   283.444,    11.056,   356.429
